DataTimeStamp,WaveType,ZCN,Havg,Tavg,Hmax,Tmax,MaxCrest,Hsig,Tsig,H110,T110,MeanPeriod,MeanDirection,MeanSpread,PeakPeriod,PeakDirection,PeakSpread,TP5,HM0,Te,DurationMs,F1,F2
2020-12-01 16:20:00,0.0,142.0,2.029,7.699,5.42,,,3.38,10.8,4.309,10.899,7.5,288.5,26.899,14.3,,,13.399,3.599,,,,
2020-12-01 16:40:00,0.0,150.0,1.94,7.5,5.19,,,3.319,10.3,4.239,11.0,7.099,288.6,28.0,12.5,,,12.199000000000002,3.539,,,,
2020-12-01 17:00:00,0.0,129.0,2.22,7.4,4.489,,,3.359,10.899,3.89,10.3,8.399,291.399,29.2,15.399,,,12.899,3.519,,,,
2020-12-01 17:20:00,0.0,131.0,2.13,7.8,4.949,,,3.559,11.199000000000002,4.28,12.1,8.1,286.5,27.799,14.3,,,14.1,3.65,,,,
2020-12-01 17:40:00,0.0,131.0,2.25,7.9,6.03,,,3.68,11.3,4.6789999999999985,12.0,8.199,290.1,25.799,14.3,,,13.5,3.769,,,,
2020-12-01 18:00:00,0.0,130.0,2.269,8.0,4.9,,,3.579,11.0,4.2189999999999985,10.899,8.199,287.399,26.2,13.3,,,13.1,3.769,,,,
2020-12-01 18:20:00,0.0,142.0,1.97,7.3,6.13,,,3.279,10.899,4.329,11.5,7.5,292.5,29.899,13.3,,,13.399,3.47,,,,
2020-12-01 18:40:00,0.0,143.0,2.059,7.199,5.26,,,3.269,10.3,4.11,10.8,7.5,290.1,30.6,14.3,,,12.8,3.47,,,,
2020-12-01 19:00:00,0.0,142.0,2.089,7.4,5.119,,,3.48,10.5,4.42,10.699000000000002,7.5,291.2,28.6,10.5,,,10.899,3.599,,,,
2020-12-01 19:20:00,0.0,138.0,2.17,7.4,5.789,,,3.45,10.8,4.17,11.5,7.8,289.2990000000001,27.6,13.3,,,13.3,3.65,,,,
2020-12-01 19:40:00,0.0,138.0,2.099,7.4,5.48,,,3.519,10.5,4.51,11.1,7.699,286.7,31.1,14.3,,,14.0,3.68,,,,
2020-12-01 20:00:00,0.0,138.0,2.069,7.699,6.84,,,3.42,10.899,4.4,11.8,7.699,281.0,29.899,14.3,,,13.5,3.63,,,,
2020-12-01 20:20:00,0.0,139.0,2.099,7.5,5.289,,,3.359,10.5,4.119,11.399,7.699,284.899,28.799,14.3,,,11.8,3.599,,,,
2020-12-01 20:40:00,0.0,142.0,2.19,7.599,5.539,,,3.609,10.5,4.6389999999999985,10.5,7.5,286.2,28.7,11.1,,,11.0,3.759,,,,
2020-12-01 21:00:00,0.0,130.0,2.299,7.699,6.11,,,3.69,11.3,4.559,11.5,8.199,286.2,27.2,15.399,,,14.199000000000002,3.829,,,,
2020-12-01 21:20:00,0.0,149.0,2.039,7.3,5.01,,,3.309,9.899,4.11,10.399,7.199,293.2990000000001,29.399,9.1,,,10.199,3.529,,,,
2020-12-01 21:40:00,0.0,141.0,2.019,7.3,4.8,,,3.22,10.3,4.03,11.1,7.599,287.1,29.7,10.5,,,12.1,3.359,,,,
2020-12-01 22:00:00,0.0,133.0,2.2,7.699,4.84,,,3.619,11.199000000000002,4.4689999999999985,11.1,8.1,289.899,28.7,10.5,,,11.1,3.68,,,,
2020-12-01 22:20:00,0.0,137.0,2.079,7.5,6.55,,,3.539,10.6,4.48,10.399,7.8,287.2,28.0,9.1,,,10.899,3.529,,,,
2020-12-01 22:40:00,0.0,147.0,1.929,7.3,4.9,,,3.14,10.399,3.89,10.699000000000002,7.3,293.7,28.7,14.3,,,13.699000000000002,3.339,,,,
2020-12-01 23:00:00,0.0,146.0,1.97,7.199,5.449,,,3.21,9.899,4.059,10.699000000000002,7.4,294.7,30.0,11.8,,,11.199000000000002,3.329,,,,
2020-12-01 23:20:00,0.0,156.0,1.759,6.9,4.61,,,2.869,9.699,3.67,10.399,6.9,293.7,29.6,14.3,,,13.199000000000002,3.109,,,,
2020-12-01 23:40:00,0.0,152.0,1.72,7.0,4.32,,,2.809,9.8,3.509,10.199,7.0,291.399,31.1,12.5,,,11.899,2.94,,,,
